2020-12-18.15:23:21		60.9	1000
2020-12-18.15:23:22		16.7	1000
2020-12-18.15:23:23		56.1	1000
2020-12-18.15:23:24		47.5	1000
2020-12-18.15:23:25		49.2	1000
2020-12-18.15:23:26		4.93	1000
2020-12-18.15:23:27		49.7	1000
2020-12-18.15:23:28		6.25	1000
2020-12-18.15:23:29		46.2	1000
2020-12-18.15:23:30		42.9	1000
2020-12-18.15:23:31		56.1	1000
2020-12-18.15:23:32		4.29	1000
2020-12-18.15:23:33		44.1	1000
2020-12-18.15:23:34		28.4	1000
2020-12-18.15:23:35		47.5	1000
2020-12-18.15:23:36		25.2	1000
2020-12-18.15:23:37		57.5	1000
2020-12-18.15:23:38		49.9	1000
2020-12-18.15:23:39		47.4	1000
2020-12-18.15:23:40		59.3	1000
2020-12-18.15:23:41		7.71	1000
2020-12-18.15:23:42		24.2	1000
2020-12-18.15:23:43		56.6	1000
2020-12-18.15:23:44		33.7	1000
2020-12-18.15:23:45		20.2	1000
2020-12-18.15:23:46		30.6	1000
2020-12-18.15:23:47		36.2	1000
2020-12-18.15:23:48		19.8	1000
2020-12-18.15:23:49		58.5	1000
2020-12-18.15:23:50		15	1000
2020-12-18.15:23:51		18	1000
2020-12-18.15:23:52		57.4	1000
2020-12-18.15:23:53		31.7	1000
2020-12-18.15:23:54		51.2	1000
2020-12-18.15:23:55		42.9	1000
2020-12-18.15:23:56		58.1	1000
2020-12-18.15:23:57		56.2	1000
2020-12-18.15:23:58		7.81	1000
2020-12-18.15:23:59		2.31	1000
2020-12-18.15:24:00		17.6	1000
2020-12-18.15:24:01		50.7	1000
2020-12-18.15:24:02		35.5	1000
2020-12-18.15:24:03		61	1000
2020-12-18.15:24:04		32.8	1000
2020-12-18.15:24:05		1.9	1000
2020-12-18.15:24:06		46.5	1000
2020-12-18.15:24:07		35.1	1000
2020-12-18.15:24:08		36.6	1000
2020-12-18.15:24:09		11.6	1000
2020-12-18.15:24:10		59.7	1000
2021-11-28.21:19:23		61.7	1000
2021-11-28.21:19:24		17.3	1000
2021-11-28.21:19:25		50.3	1000
2021-11-28.21:19:26		0.718	1000
2021-11-28.21:19:27		0.637	1000
2021-11-28.21:19:28		46.6	1000
2021-11-28.21:19:29		18.9	1000
2021-11-28.21:19:30		48.4	1000
2021-11-28.21:19:31		17	1000
2021-11-28.21:19:32		43	1000
2021-11-28.21:19:33		2.4	1000
2021-11-28.21:19:34		29.1	1000
2021-11-28.21:19:35		0.987	1000
2021-11-28.21:19:36		41.9	1000
2021-11-28.21:19:37		27.7	1000
2021-11-28.21:19:38		1.22	1000
2021-11-28.21:19:39		38.6	1000
2021-11-28.21:19:40		32.4	1000
2021-11-28.21:19:41		25.6	1000
2021-11-28.21:21:45		29.910	1000
2021-11-28.21:21:46		54.933	1000
2021-11-28.21:21:47		35.316	1000
2021-11-28.21:21:48		26.307	1000
2021-11-28.21:21:49		25.187	1000
2021-11-28.21:21:50		32.418	1000
2021-11-28.21:21:51		29.971	1000
2021-11-28.21:21:52		31.991	1000
2021-11-28.21:21:53		21.817	1000
2021-11-28.21:21:54		36.666	1000
2021-11-28.21:21:55		16.902	1000
2021-11-28.21:22:19		59.42	1000
2021-11-28.21:22:20		56.81	1000
2021-11-28.21:22:21		25.36	1000
2021-11-28.21:22:22		28.22	1000
2021-11-28.21:22:23		59.25	1000
2021-11-28.21:22:24		33.79	1000
2021-11-28.21:22:25		11.70	1000
2021-11-28.21:22:26		53.14	1000
2021-11-28.21:22:27		3.62	1000
2021-11-28.21:22:28		13.96	1000
2021-11-28.21:22:29		0.69	1000
2021-11-28.21:22:30		44.39	1000
2021-11-28.21:22:31		36.36	1000
2021-11-28.21:22:32		14.46	1000
2021-11-28.21:22:33		15.08	1000
2021-11-28.21:22:34		50.03	1000
2021-11-28.21:22:35		49.98	1000
2021-11-28.21:22:36		32.64	1000
2021-11-28.21:22:37		6.79	1000
2021-11-28.21:22:38		19.58	1000
2021-11-28.21:22:39		28.10	1000
2021-11-28.21:22:40		14.38	1000
2021-11-28.21:22:41		28.26	1000
2021-11-28.21:22:42		38.36	1000
2021-11-28.21:22:43		9.81	1000
2021-11-28.21:22:44		56.59	1000
2021-11-28.21:22:45		53.81	1000
2021-11-28.21:22:46		25.42	1000
2021-11-28.21:22:47		5.47	1000
2021-11-28.21:22:48		56.51	1000
2021-11-28.21:22:49		54.52	1000
2021-11-28.21:22:50		2.89	1000
2021-11-28.21:22:51		51.32	1000
2021-11-28.21:22:52		57.05	1000
2021-11-28.21:22:53		31.11	1000
2021-11-28.21:22:54		25.73	1000
2021-11-28.21:22:55		6.00	1000
2021-11-28.21:22:56		19.97	1000
2021-11-28.21:22:57		56.04	1000
2021-11-28.21:22:58		48.79	1000
2021-11-28.21:22:59		11.10	1000
2021-11-28.21:23:00		56.73	1000
2021-11-28.21:23:01		31.17	1000
2021-11-28.21:23:02		24.61	1000
2021-11-28.21:23:03		9.19	1000
2021-11-28.21:23:04		23.42	1000
2021-11-28.21:23:05		51.81	1000
2021-11-28.21:23:06		59.17	1000
2021-11-28.21:23:07		33.22	1000
